Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,Government Policies,R&D Expenditure,Renewable Energy Targets,Average Annual Temperature,Annual Rainfall,Solar Irradiance,Wind Speed,Hydro Potential,Geothermal Potential,Biomass Availability,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,International Aid for Renewables,Public Awareness,Energy Efficiency Programs,Urbanization Rate,Industrialization Rate,Energy Market Liberalization,Renewable Energy Patents,Educational Level,Technology Transfer Agreements,Renewable Energy Education Programs,Local Manufacturing Capacity,Import Tariffs on Energy Equipment,Export Incentives for Energy Equipment,Natural Disasters,Political Stability,Corruption Perception Index,Regulatory Quality,Rule of Law,Control of Corruption,Economic Freedom Index,Ease of Doing Business,Innovation Index,Number of Research Institutions,Number of Renewable Energy Conferences,Number of Renewable Energy Publications,Energy Sector Workforce,Proportion of Energy from Renewables,Public-Private Partnerships in Energy,Regional Renewable Energy Cooperation
Australia,2020,Hydro,3386.12,39711.90,3891812729.53,902409611,65341355942158.69,113964.36,22082.90,42793.31,131626.70,18034,0,4662931765.99,0,17.66,490.31,127.59,4.40,16.99,69.19,0.84,373.51,0.50,0.43,193550375.83,733545395.25,7.78,1,46.44,0.23,0,844,8.30,1,1,50.08,64.11,37.07,1,1.57,1.74,7.67,3.20,5.94,6.53,97.15,1.63,129,45,213,413800,49.69,0,0
France,2015,Biomass,35747.15,11408.69,9918204882.90,551826175,68950038569662.42,746144.53,39447.16,3493.86,232158.03,436217,1,4340263619.89,0,15.81,2663.81,228.30,14.36,46.23,20.50,76.96,408.86,0.84,0.05,690285749.27,33087136.87,8.77,1,30.34,95.68,1,169,2.08,1,0,10.56,44.33,47.35,1,2.07,6.18,4.03,3.29,8.60,47.45,75.02,86.42,380,66,5753,171701,56.17,0,0
Japan,2003,Solar,37917.34,25327.82,2183215453.54,764933521,25956213176778.62,783683.43,74787.85,22775.01,355712.55,925420,0,3343911058.95,0,34.29,1313.73,288.85,11.26,68.48,3.97,62.47,790.72,0.81,0.45,650720405.11,751809200.29,7.45,1,8.68,31.58,0,47,0.86,1,0,93.19,97.59,77.84,1,2.46,6.93,8.86,1.76,9.40,35.81,65.03,86.06,610,64,6654,836881,1.49,1,0
Brazil,2004,Geothermal,92392.05,1451.96,2450100983.44,431084272,95894745626916.30,228345.03,44923.95,43814.60,815109.12,460132,0,3022177261.15,0,-5.53,2629.16,271.64,12.13,60.97,1.98,21.64,460.78,0.69,0.44,11490883.08,946942568.67,3.19,0,65.14,54.11,1,362,3.40,0,1,42.50,0.63,98.44,1,8.52,9.71,9.62,1.72,6.75,95.86,62.81,98.31,594,45,6847,428121,63.10,1,1
China,2019,Solar,78755.09,36288.86,5635218481.54,979747287,132604064329803.52,361977.03,75840.37,31535.58,858104.32,942579,1,7342050241.75,1,13.23,1177.94,254.08,1.18,73.55,26.89,94.13,164.28,0.03,0.15,938864169.99,449721573.15,1.28,1,12.84,46.83,0,711,1.18,0,0,85.37,18.46,14.45,1,3.16,2.75,6.99,4.92,4.00,62.39,70.44,12.85,839,41,3069,210289,54.52,1,1
Japan,2003,Wind,9627.66,49361.19,7899902428.73,1044627974,77279054375694.83,276418.26,35864.97,31746.77,968724.06,137272,0,464811092.61,0,-1.06,2687.44,112.35,1.51,14.00,57.21,45.17,12.20,0.59,0.17,386381634.87,19232026.07,7.37,1,5.49,41.69,0,640,1.45,0,1,24.43,58.23,67.16,1,7.41,2.61,2.43,0.70,2.01,33.72,52.82,43.74,757,29,6609,497875,50.21,1,1
India,2010,Wind,91946.61,46526.04,2979264242.91,819890449,124421138033199.50,883549.12,72708.25,96055.23,437529.79,103788,1,2317398453.78,1,27.44,2333.32,299.51,3.67,6.15,38.12,49.04,863.96,0.67,0.28,318818332.80,275315044.48,0.33,1,3.15,34.03,1,661,6.04,1,1,66.66,27.67,98.51,0,6.08,5.93,1.91,3.42,2.56,6.96,53.32,4.29,918,39,9752,172796,8.31,1,0
Canada,2014,Geothermal,80750.68,39027.34,9925332814.52,116459754,28471436841164.02,350075.88,70974.17,61243.22,374325.10,824313,1,5275322699.27,0,36.21,860.52,212.54,9.17,54.97,61.81,57.29,795.07,0.76,0.09,84658641.95,302332358.42,0.59,1,52.62,11.95,1,124,2.95,1,0,90.26,95.12,99.39,0,0.22,6.05,4.89,5.65,0.81,1.86,24.29,68.43,372,93,2985,568491,42.12,0,0
Canada,2013,Biomass,98397.81,16191.49,1783535397.95,1205275849,196438924682760.25,7977.21,2176.66,46554.80,111308.65,970573,1,8352957170.02,1,10.91,2074.37,173.90,4.88,18.39,23.11,52.33,640.06,0.24,0.47,887200615.07,454269940.79,7.54,0,21.12,1.76,0,749,7.26,1,1,48.67,91.79,57.93,0,3.61,6.12,8.80,3.33,6.25,13.77,17.30,45.56,428,37,4280,950593,71.16,0,1
Canada,2007,Solar,20322.54,10828.34,4639469254.16,1040200869,151359990494526.81,988690.22,17157.93,10527.27,112176.26,230374,1,6688485693.40,1,27.23,2847.24,243.52,4.45,6.24,77.22,0.82,885.05,0.76,0.18,63101031.32,245786667.17,6.93,1,58.87,18.91,1,596,1.91,0,0,22.03,70.87,51.48,1,6.55,0.92,8.82,5.91,7.11,17.08,31.75,10.42,449,35,4232,101904,30.25,0,1
Russia,2013,Solar,7323.64,5827.46,1731276894.15,255134878,168115101190195.94,295626.69,64711.21,19780.12,215858.46,855186,0,2937554592.09,1,8.26,117.16,280.29,2.65,64.94,83.05,69.39,5.28,0.13,0.16,838498024.29,35499496.96,7.68,1,97.82,92.16,1,625,1.00,1,1,87.20,29.15,99.29,1,2.09,2.14,4.26,6.13,3.97,42.23,24.86,27.95,315,76,3924,976011,29.86,0,1
India,2004,Wind,6542.69,28501.29,9180527158.19,531406015,68718655963285.30,278368.46,20948.18,75842.92,758468.89,454865,1,3785552393.82,0,-6.37,2078.04,182.65,12.48,63.33,60.59,20.54,481.99,0.15,0.13,279580704.93,153343205.14,3.91,1,4.77,18.22,0,874,6.21,0,1,48.07,37.34,1.41,0,5.95,0.76,5.27,7.50,6.02,34.19,64.78,31.32,205,8,586,302723,36.42,1,1
Germany,2019,Geothermal,17502.14,26502.99,408490766.71,189017849,27460634720824.82,32557.92,10745.38,16792.26,170377.05,258425,0,3128713344.74,1,17.11,2670.29,202.01,13.29,35.71,53.39,96.65,499.48,0.45,0.37,598376589.01,412154842.58,9.91,0,79.28,26.52,1,717,3.80,0,0,19.75,56.31,23.04,1,3.38,4.33,9.09,7.78,2.64,65.26,3.55,32.85,981,27,3866,600386,67.21,1,1
Japan,2023,Hydro,14777.09,28986.54,1316801464.90,898948417,112776458569605.58,240448.87,54523.66,35630.66,991128.84,599552,0,3940056952.54,1,6.01,2052.47,221.83,3.45,50.12,66.72,64.39,277.71,0.71,0.07,596615351.28,319150196.41,9.41,0,57.73,50.29,1,241,9.87,0,0,72.10,31.27,52.09,1,5.66,3.11,5.25,8.21,6.68,16.57,98.75,47.66,192,1,4835,642781,2.38,0,1
France,2019,Solar,28474.76,24303.23,21020901.66,620172080,20213241819675.21,495218.35,25933.89,19803.59,547101.92,991941,1,9452069832.79,0,13.79,729.44,296.37,10.20,44.23,72.71,60.45,903.51,0.50,0.45,736504659.93,241285238.70,6.41,0,25.36,28.32,0,304,7.52,1,1,50.77,9.72,39.50,0,5.17,5.03,9.97,8.06,1.15,7.94,22.31,2.84,411,7,7589,591570,69.04,0,1
Germany,2002,Wind,3515.85,26439.04,5976202996.92,1141999257,185300334322771.28,643774.81,11828.48,48644.04,328861.06,556509,0,7240117660.72,0,5.83,128.64,226.48,2.08,88.35,61.33,53.07,922.40,0.77,0.45,173377487.72,894932804.74,3.04,0,18.95,72.20,1,586,4.20,1,0,36.49,30.33,43.44,1,0.29,1.51,3.56,4.56,1.92,25.84,54.95,40.65,208,19,9898,687078,81.91,1,0
France,2008,Biomass,1072.71,7822.08,8371581376.80,934790960,165523677074542.91,931958.52,61877.45,87793.38,676454.45,921555,0,967285075.04,1,8.62,2825.87,255.79,8.91,48.03,70.85,41.18,376.96,0.22,0.48,477969782.69,601346959.16,6.03,0,58.92,80.78,1,446,9.30,1,0,25.52,36.31,69.18,1,1.57,9.99,7.68,1.81,9.27,12.35,33.06,39.16,832,2,6793,597759,0.03,0,1
France,2014,Solar,43969.68,15713.42,6996068074.20,197990713,65820663555887.80,671660.55,55431.62,64905.94,114813.20,587650,0,649375733.75,0,9.65,2153.14,209.69,11.47,64.62,38.80,22.99,650.69,0.85,0.21,696033896.06,42235124.03,3.97,0,27.61,2.24,1,167,0.11,0,0,81.84,55.22,52.08,0,1.78,4.78,8.26,4.92,5.14,82.08,12.03,31.79,623,65,3041,307523,71.88,0,1
Brazil,2010,Solar,39491.79,14223.86,1472171372.26,636023248,9004019196367.98,290910.89,94385.90,45123.85,369447.56,884874,1,9703166645.99,0,33.19,1648.34,243.30,7.12,82.90,6.15,72.30,300.66,0.59,0.44,489794414.72,214701120.73,4.22,1,61.75,89.66,1,332,5.46,0,1,81.40,97.76,66.24,1,3.80,8.61,4.98,5.80,8.78,19.30,6.80,9.24,98,57,8895,494,32.27,0,1
Germany,2007,Wind,35102.81,17363.99,5124903676.07,810530992,117271182560054.59,445969.30,50496.66,24314.12,965260.31,896954,0,1364767502.54,0,26.77,349.16,256.64,7.00,48.37,73.66,90.63,213.27,0.71,0.49,638573381.33,731513438.26,7.26,1,16.90,7.39,1,8,2.24,0,1,29.30,94.46,85.26,0,1.55,8.24,3.69,9.75,4.85,33.28,34.93,33.43,583,27,2927,612093,39.10,0,0
India,2021,Wind,75015.11,21087.56,4916894561.80,613191835,57095133998912.33,85751.94,56360.57,80690.39,256029.47,851675,0,7183075262.19,1,33.89,2380.92,174.89,5.63,92.60,85.25,32.03,697.46,0.59,0.19,416123157.08,645139314.79,8.81,1,56.28,27.20,0,973,3.20,0,1,77.40,53.10,66.19,0,2.49,5.67,7.07,8.66,7.25,22.91,13.31,36.56,12,41,6383,219917,40.00,1,0
USA,2005,Wind,55487.02,13187.62,4972807916.14,710170825,116071903764484.14,985035.71,48007.28,40046.29,684123.84,521931,0,6633565665.04,0,-6.60,2959.60,148.37,4.90,23.80,32.61,46.95,410.00,0.55,0.32,808790814.43,802183880.45,0.66,1,77.02,23.93,1,93,3.63,1,1,93.35,64.98,76.07,0,7.01,2.82,3.08,6.59,8.59,73.19,27.68,60.33,220,95,9622,442797,57.06,0,0
France,2010,Geothermal,62387.57,21564.62,7535222387.45,1337802427,7257163665062.45,67563.89,32121.45,94099.34,217082.03,529241,0,4171877997.92,1,3.54,1367.18,223.57,10.97,44.54,52.10,11.00,765.88,0.63,0.41,652865572.03,303419292.08,1.21,1,2.54,18.61,1,55,8.08,0,1,28.62,43.82,2.14,1,4.41,7.59,2.08,3.83,5.03,67.11,29.07,19.99,382,55,4177,192065,32.26,1,1
Russia,2020,Hydro,54157.63,412.70,6394575200.99,188910945,115366382929304.56,140334.65,44736.96,11785.07,912903.25,220529,1,1880145938.19,1,-9.35,1919.23,156.66,1.32,63.30,39.31,77.08,289.98,0.01,0.46,287836553.60,391906162.48,9.45,1,12.46,57.63,1,350,9.60,1,1,53.41,90.37,4.65,0,6.64,8.04,8.73,7.81,5.57,62.50,21.00,50.98,835,36,8475,962904,58.92,0,1
Russia,2010,Biomass,3204.98,24196.75,5061422754.43,1075716108,94549790212522.16,723871.39,71006.10,61336.42,932965.62,303989,1,5594875353.85,0,24.44,1664.15,177.38,7.69,78.98,72.70,31.42,85.26,0.26,0.21,300312691.55,862927547.15,1.44,1,30.55,0.62,0,713,6.01,1,1,98.98,78.99,34.99,0,1.56,1.20,9.89,10.00,6.68,28.08,0.93,79.68,469,94,6506,707607,84.59,1,0
Japan,2022,Hydro,47146.19,29106.29,8045717983.02,762402801,145905615255410.09,894909.76,33238.82,93759.14,19800.92,567964,0,2457893038.56,1,31.07,1436.48,154.40,5.52,56.55,3.42,86.37,743.55,0.77,0.15,600601285.63,548571772.67,3.05,0,94.52,35.66,1,113,1.77,1,0,9.00,94.07,6.47,0,3.83,8.51,4.40,6.01,7.66,55.82,28.36,47.40,504,31,2072,822745,15.21,1,0
France,2001,Geothermal,84294.04,26925.03,3776283773.63,183874120,185504305354500.62,369685.26,53605.00,99899.97,29061.63,249779,1,7352989415.19,0,6.95,1044.57,106.69,3.13,9.55,86.64,68.83,604.47,0.05,0.18,466460158.84,564493655.15,3.18,1,28.02,37.60,0,967,4.67,0,1,90.05,69.12,20.22,1,1.36,9.23,1.79,1.79,8.50,65.20,50.72,21.72,949,71,2926,993830,45.27,0,1
Germany,2003,Solar,73627.88,41479.83,1217189974.20,842131261,52052270161228.30,15915.90,69698.54,72685.70,366829.61,268866,0,1656156783.43,0,17.09,1927.18,198.41,1.35,85.69,46.08,28.40,665.61,0.54,0.39,228545553.78,89286332.85,6.12,0,11.82,92.94,1,683,6.95,0,0,89.06,34.60,7.23,1,3.32,4.18,9.15,7.61,1.25,98.69,91.37,21.03,988,15,483,355636,87.40,0,1
Germany,2017,Biomass,55637.02,28651.92,4673581580.72,481418144,125005074975803.70,638360.56,53694.06,41214.56,794512.42,956625,1,4667357140.32,1,9.94,1566.48,147.79,2.05,33.50,67.38,22.44,235.81,0.38,0.21,586907015.74,641989119.11,6.26,1,34.20,88.69,1,611,5.55,1,1,20.27,5.96,4.76,1,6.15,8.57,4.87,2.15,5.26,46.22,13.78,63.10,422,94,2246,169228,65.28,1,1
USA,2006,Hydro,21195.91,34520.49,9333387382.68,51710882,28026257176031.05,82210.08,49193.29,98780.53,379652.24,615749,1,8068504121.86,1,4.52,408.75,130.88,6.63,89.85,18.08,88.01,435.70,0.05,0.06,617626048.67,991321684.25,4.41,0,49.24,16.41,0,987,7.57,1,1,42.37,14.47,55.52,1,1.59,7.48,7.13,9.66,4.94,85.75,22.33,83.06,943,26,2979,569529,3.68,1,0
Australia,2009,Solar,40218.01,42993.53,338009756.20,282116949,74232349106128.53,267479.71,5273.55,80333.19,695121.13,526963,1,7787833306.77,0,1.43,1881.09,248.01,10.35,54.49,35.23,77.93,773.86,0.93,0.27,339235729.22,565239260.70,5.26,1,92.38,32.15,1,424,8.54,1,1,94.89,7.46,98.62,1,4.40,0.27,4.49,9.01,7.87,1.48,94.25,6.40,464,54,2826,876312,92.97,0,1
France,2005,Geothermal,86174.01,40042.61,3765310091.86,1002285207,186710165062288.25,36342.78,87027.50,52170.95,492200.97,679953,0,3776464300.25,1,15.74,1912.26,171.62,4.83,88.89,82.12,82.15,372.83,0.30,0.30,807167227.15,792625338.75,6.44,0,52.97,71.47,1,319,8.85,1,1,67.20,89.79,22.37,1,6.08,1.55,2.10,4.63,0.35,43.25,46.23,38.55,65,3,9753,273935,12.01,0,1
Russia,2009,Wind,19652.02,4580.21,5799602396.73,1480116352,22523991297832.64,473519.29,78195.74,17116.26,345594.68,618069,1,4447970126.51,0,3.02,1862.98,241.22,9.43,94.79,83.37,87.98,165.26,0.12,0.28,369568788.46,811526302.87,4.94,0,66.36,79.90,1,807,7.38,0,1,68.30,56.01,98.49,0,2.38,2.70,1.10,7.42,8.49,18.31,72.81,94.13,418,15,4937,643464,25.50,0,1
Brazil,2017,Geothermal,13680.99,1494.78,8076873410.65,1097252814,79774693747668.47,669437.36,36364.14,45999.27,353261.79,479946,0,4209210356.16,1,23.68,573.91,174.17,4.72,96.61,49.50,61.57,533.98,0.97,0.33,932678262.66,321281223.91,9.28,0,5.10,16.55,0,303,3.59,1,1,87.01,22.46,22.41,0,8.14,1.62,8.14,6.22,7.93,11.65,28.70,62.34,793,72,1598,356973,29.64,1,0
Russia,2002,Solar,92232.76,13825.92,483774920.41,956822416,160151218324972.66,557054.74,69162.80,41953.28,644875.82,172535,1,3918144915.29,0,-1.53,1207.78,238.45,13.64,16.11,98.30,50.29,199.06,0.82,0.41,989546831.36,237133856.33,4.74,1,92.84,90.83,0,616,5.19,1,1,34.76,44.68,4.28,1,7.59,7.23,7.70,3.62,9.84,51.78,43.93,48.45,300,4,1434,892131,18.07,1,0
Brazil,2007,Geothermal,75518.89,44242.37,8424385584.19,850214259,5663294467513.28,568401.34,58686.20,29716.37,561938.19,921467,0,2506848371.94,0,-7.16,330.25,230.10,13.61,44.13,60.21,20.75,244.34,0.67,0.36,472896476.03,73820769.42,4.17,0,68.34,76.01,1,438,7.67,0,0,33.75,18.76,37.79,0,5.74,2.02,0.93,1.30,7.90,20.22,11.87,8.28,660,56,14,949433,91.78,0,0
Japan,2022,Biomass,63005.17,25563.84,9104672097.21,1347133105,52413571945171.77,871439.12,33247.80,28057.14,273959.52,117482,1,2747755125.33,1,-2.59,1893.61,137.35,13.69,83.41,69.19,60.70,678.51,0.53,0.20,38851796.18,64000406.21,8.21,1,65.46,67.42,0,439,3.62,1,0,39.92,76.91,5.68,1,2.96,6.91,6.91,9.96,3.32,78.43,0.12,62.05,157,73,3643,245849,1.63,1,0
Japan,2007,Geothermal,52535.54,821.34,147464154.74,645225740,95175421773672.31,95573.26,85730.34,90780.32,325673.56,161858,1,897037764.78,0,0.59,1858.84,102.83,11.12,0.19,43.37,67.01,525.14,0.81,0.17,272960070.39,173961638.77,8.78,0,92.95,2.08,1,540,3.54,0,1,56.14,50.41,93.23,0,8.54,8.24,9.70,4.17,9.37,99.74,67.02,61.46,289,38,7427,861948,23.17,0,0
Germany,2022,Biomass,3639.20,10897.75,1399573622.79,305996686,80904991214250.59,280783.77,12943.44,41514.65,254640.87,542398,0,175515297.34,1,-2.94,829.18,204.42,11.75,60.15,79.91,69.19,416.72,0.98,0.07,662931186.52,152340586.54,7.59,1,82.62,14.94,1,69,7.99,1,1,19.93,12.96,76.48,0,8.37,2.59,7.18,6.51,0.07,35.70,41.89,71.04,486,24,2402,48111,1.31,1,0
France,2021,Solar,15874.37,37065.22,9695986802.76,141868711,29920189107192.05,362843.46,21913.43,52043.30,495040.02,49980,0,3004301657.38,1,2.24,182.02,117.83,11.70,77.91,80.88,55.43,414.77,0.79,0.20,336020933.69,163566485.09,4.12,0,32.65,80.49,0,466,5.11,0,1,30.88,80.74,65.72,0,5.14,6.72,8.23,5.38,0.53,92.11,85.88,46.50,850,2,3888,413711,91.20,1,0
Brazil,2012,Wind,49778.16,15586.84,1196236036.31,11950560,82747666345872.62,156485.61,67770.20,6608.35,993987.81,947071,0,8325133466.98,1,6.10,2976.20,262.06,3.58,94.32,90.80,2.11,760.03,0.40,0.07,389884079.20,43608938.62,7.62,1,32.33,81.50,1,237,1.73,0,1,77.61,83.04,87.77,0,4.52,5.11,8.12,8.22,8.13,69.24,70.21,92.35,906,21,6433,202414,17.04,0,1
France,2018,Hydro,25983.44,35714.78,2627041959.93,980235263,146139759750265.03,745572.78,30133.02,8963.67,891317.23,352081,0,2419416251.66,1,14.43,1827.68,262.52,13.97,84.62,62.41,73.53,94.48,0.00,0.41,548643675.07,101535754.63,7.93,1,23.33,4.62,1,885,0.74,1,1,87.55,3.13,53.99,0,9.34,2.39,3.42,7.66,2.64,80.82,22.11,53.66,622,57,94,377645,37.02,1,1
USA,2014,Wind,10964.77,18139.56,1066270663.43,1292204876,18467518414409.29,267626.78,64471.76,61961.86,988439.48,104091,1,8760259243.29,1,15.73,361.13,257.03,4.54,8.62,25.70,10.37,464.00,0.37,0.27,247514639.44,29689438.55,7.77,0,17.35,98.15,0,347,7.78,1,1,41.99,69.87,57.60,1,2.48,7.89,9.44,4.68,3.59,94.43,73.10,61.91,221,54,9303,81664,44.77,0,1
Russia,2009,Wind,39181.96,12590.37,4905855151.79,1469192168,156269968480796.50,57761.60,39731.68,19596.56,433430.65,363396,1,5080603218.63,1,29.25,1300.39,151.84,8.21,16.87,59.46,74.76,722.40,0.25,0.47,155894511.57,855144388.33,2.76,0,17.38,6.84,0,394,2.72,0,0,37.93,77.63,26.45,1,2.47,3.89,1.44,4.68,9.12,63.84,34.07,5.52,559,13,2155,307868,91.52,0,1
France,2003,Biomass,99181.00,14391.29,1322930047.95,846176320,168317901690900.88,36329.82,13960.78,77046.06,313250.75,448306,0,2968195297.96,0,32.09,2151.01,256.22,3.16,88.65,11.27,7.97,920.37,0.06,0.16,913126425.46,509596503.52,5.24,1,30.25,30.07,0,704,9.88,0,0,74.83,9.37,28.11,0,5.26,3.80,7.21,0.48,1.72,90.19,27.36,14.40,424,55,5844,379832,99.83,0,1
Australia,2011,Hydro,73276.90,4324.06,1638287453.53,284768221,129303414082435.52,972971.50,64497.42,58469.17,867504.01,312699,0,6450131746.59,0,13.09,2072.76,206.56,10.14,11.45,65.24,96.04,636.21,0.34,0.07,979100677.37,92587643.06,3.16,1,47.64,82.50,0,412,1.55,1,1,80.69,77.07,55.57,1,2.26,1.97,9.38,4.13,4.49,31.97,96.50,64.73,816,50,1501,556800,13.26,1,0
Australia,2014,Hydro,11187.97,34968.16,1187775824.01,440312197,79570981653944.98,347820.33,68342.47,46598.72,754759.87,690794,1,2789138032.23,1,-9.82,1697.66,108.10,7.38,16.22,86.50,19.96,26.27,0.78,0.42,853301423.67,722011514.13,1.81,0,33.01,22.76,1,900,3.55,0,0,84.84,71.22,80.86,1,4.11,2.16,8.81,6.53,9.96,0.14,42.14,25.99,456,91,1942,374630,94.99,0,1
USA,2016,Hydro,71690.96,45631.26,6479176301.13,643635950,6848907178322.83,564800.08,55904.69,79899.07,310901.43,450978,1,5102718042.94,1,35.48,2135.31,135.12,6.03,38.33,89.08,22.92,960.60,0.14,0.19,698170207.93,276936959.62,7.89,1,56.69,74.58,1,819,6.17,1,0,8.28,2.35,46.00,0,3.21,5.33,9.34,3.53,1.89,91.89,5.91,10.37,177,55,2382,294639,27.35,1,0
India,2015,Wind,86555.55,19311.89,9208688755.76,1280046658,39326893668632.54,254296.09,60371.75,91750.28,340001.66,958575,1,5882827965.20,0,14.76,1695.62,206.88,11.09,58.90,82.30,0.38,509.45,0.87,0.33,16463762.95,494971300.85,0.88,0,9.96,23.75,0,135,5.34,0,1,37.48,38.47,98.76,1,9.95,6.40,6.26,0.44,8.24,85.60,85.88,95.24,0,85,5479,110038,10.24,1,0
